0.0137157105,0.013333334,0.016627079,0.015151516,0.016431924,0.014117647,0.016528925,0.015258216,0.016147636,0.016336055
0.1064935,0.10169491,0.101763904,0.10307898,0.10391363,0.10079575,0.1003963,0.10463576,0.10303831,0.09973753
0.17391305,0.18168168,0.18154761,0.18088235,0.1816839,0.18061674,0.18023255,0.18406594,0.17832647,0.18118949
0.27606636,0.27367204,0.27136257,0.26949543,0.27061558,0.27146173,0.2708089,0.27090696,0.26713124,0.2708089
0.33509934,0.3442177,0.34332424,0.3432836,0.34059945,0.34185734,0.34155363,0.34465408,0.34282324,0.34712642
0.40774488,0.4117647,0.41149944,0.41103604,0.41069397,0.4104903,0.41102183,0.41013825,0.4097222,0.41148886
0.47559708,0.47401246,0.47412008,0.47346514,0.47368422,0.4722222,0.47192225,0.46753246,0.46588486,0.46439958
0.54677206,0.5493827,0.54299754,0.54323995,0.54017305,0.53800476,0.53593177,0.5355392,0.53437877,0.53333336
0.58625954,0.5833333,0.5785235,0.57506704,0.58194774,0.58656037,0.5838084,0.58573073,0.5867117,0.5858586
0.63764405,0.6411917,0.6401515,0.64366376,0.64125,0.64881694,0.6467662,0.6502525,0.64772725,0.64646465
0.6779661,0.68469507,0.6876404,0.6904762,0.6936354,0.6948969,0.69381106,0.6905537,0.6923913,0.6898048
0.743295,0.75233024,0.7525773,0.749354,0.7509434,0.7472924,0.7496992,0.7484885,0.7478685,0.7442702
0.78337234,0.7807118,0.784,0.7833698,0.7907489,0.789823,0.78959024,0.7908788,0.7910112,0.7912458
0.8433121,0.84197533,0.84210527,0.8400474,0.8458693,0.84033614,0.84,0.8423586,0.84077203,0.83975905
0.9023384,0.91251886,0.9207161,0.9163592,0.91133004,0.91165644,0.90686274,0.9078788,0.91341466,0.9115479
0.93135935,0.9409722,0.9389401,0.93886966,0.9418472,0.9381443,0.93563217,0.936,0.9375709,0.9359268
